Source_File,Run_Name,ISP_Loading_%,Total_Reads,Instrument,Chip_Barcode,Chip_Lot_Number,Chip_Wafer,Cleaning_Solution_Lot,ExT_Sequencing_Reagent_Lot,ExT_Wash_Solution_Lot,Run_Date_raw,Run_Date,Usable_Reads_%,Mean_Read_Length_bp,Median_Read_Length_bp,Mode_bp,Chef_Reagent_Lot,Chef_Solution_Lot,robust_median,robust_mad,robust_sigma,robust_z,H_outlier
Auto_user_S5-00577-639-LIB-SEP-2025-322_197 (1).pdf,Auto user S5-00577-639-LIB-SEP-2025-322 197,90,67,S5-00577,DALF03480,Q46F06,22.0,3000459A,2917608,3000459A,"Sept. 6, 2025, 4:08 a.m.",2025-09-06 04:08:00,67.0,289.0,297.0,43.0,2917608,3000459A,,,,,False
Auto_user_S5-00577-640-LIB-APOL1-03-SEP-328_198 (1).pdf,Auto user S5-00577-640-LIB-APOL1-03-SEP-328 198,92,66,S5-00577,DALF03492,Q46F06,22.0,3000459A,2917608,3000459A,"Sept. 9, 2025, 4:57 p.m.",2025-09-09 16:57:00,66.0,268.0,286.0,44.0,2917608,3000459A,,,,,False
Auto_user_S5-00577-641-LIB-SEP-2025-328R_199 (1).pdf,Auto user S5-00577-641-LIB-SEP-2025-328R 199,84,64,S5-00577,DALF03493,Q46F06,22.0,3050961,2917608,3050961,"Sept. 13, 2025, 10:55 a.m.",2025-09-13 10:55:00,64.0,285.0,287.0,44.0,2917608,3050961,,,,,False
Auto_user_S5-00577-642-LIB-SEP-2025-341_200 (1).pdf,Auto user S5-00577-642-LIB-SEP-2025-341 200,83,66,S5-00577,DALE00672,Q42M81,14.0,3050961,2917608,3050961,"Sept. 18, 2025, 4:45 p.m.",2025-09-18 16:45:00,66.0,284.0,296.0,44.0,2917608,3050961,,,,,False
Auto_user_S5-00577-643-LIB-SEP-2025-345_201 (1).pdf,Auto user S5-00577-643-LIB-SEP-2025-345 201,85,66,S5-00577,DALE00667,Q42M81,14.0,3050961,2917608,3050961,"Sept. 20, 2025, 6:48 p.m.",2025-09-20 18:48:00,66.0,278.0,286.0,44.0,2917608,3050961,,,,,False
Auto_user_S5-00577-644-LIB-LT04-APOL1-04-SEP-2025-350_202 (1).pdf,Auto user S5-00577-644-LIB-LT04-APOL1-04-SEP-2025-350 202,91,68,S5-00577,DALE00677,Q42M81,14.0,3050961,2917608,3050961,"Sept. 26, 2025, 1:08 p.m.",2025-09-26 13:08:00,68.0,290.0,301.0,44.0,2917608,3050961,,,,,False
Auto_user_S5-00577-645-LIB-LT05-APOL1-05-SEP-2025-358_203 (1).pdf,Auto user S5-00577-645-LIB-LT05-APOL1-05-SEP-2025-358 203,90,67,S5-00577,DALE00675,Q42M81,14.0,3105205,2917606,3105205,"Oct. 1, 2025, 3:34 p.m.",2025-10-01 15:34:00,67.0,273.0,282.0,43.0,2917606,3105205,,,,,False
Auto_user_S5-00577-646-LIB-OCT-2025-367_204 (1).pdf,Auto user S5-00577-646-LIB-OCT-2025-367 204,82,68,S5-00577,DALE00649,Q42M81,14.0,3105205,2917606,3105205,"Oct. 7, 2025, 2:35 p.m.",2025-10-07 14:35:00,68.0,274.0,281.0,44.0,2917606,3105205,,,,,False
Auto_user_S5-00577-647-LIB-OCT-2025-369_205 (1).pdf,Auto user S5-00577-647-LIB-OCT-2025-369 205,87,68,S5-00577,DALE00666,Q42M81,14.0,3032377,2896638,3049977,"Oct. 8, 2025, 4:31 p.m.",2025-10-08 16:31:00,68.0,307.0,320.0,43.0,3077140,3105205,,,,,False
Auto_user_S5-00577-648-LIB-LT02-OCT-2025-378_206 (1).pdf,Auto user S5-00577-648-LIB-LT02-OCT-2025-378 206,76,64,S5-00577,DALE00682,Q42M81,14.0,3032377,2896638,3087052,"Oct. 15, 2025, 11:19 a.m.",2025-10-15 11:19:00,64.0,224.0,252.0,46.0,3077140,3050961,66.5,1.0,1.4826,-1.6862268986914881,False
Auto_user_S5-00577-649-LIB-OCT-2025-381_207 (1).pdf,Auto user S5-00577-649-LIB-OCT-2025-381 207,86,66,S5-00577,DALI02515,Q4PA01,4.0,3032377,2896638,3087052,"Oct. 17, 2025, 3:54 p.m.",2025-10-17 15:54:00,66.0,282.0,293.0,44.0,3077140,3050961,66.0,1.5,2.2239,0.0,False
Auto_user_S5-00577-650-LIB-OCT-2025-388_208 (1).pdf,Auto user S5-00577-650-LIB-OCT-2025-388 208,88,63,S5-00577,DALI02514,Q4PA01,4.0,3032377,2896638,3087052,"Oct. 23, 2025, 4:08 a.m.",2025-10-23 04:08:00,63.0,299.0,302.0,43.0,3077140,3050961,66.0,2.0,2.9652,-1.011736139214893,False
Auto_user_S5-00577-651-LIB-LT03-OCT-2025-391_209 (1).pdf,Auto user S5-00577-651-LIB-LT03-OCT-2025-391 209,28,1,S5-00577,DALI02471,Q4PA01,4.0,3032377,2896638,3087052,"Oct. 25, 2025, 3:06 a.m.",2025-10-25 03:06:00,1.0,162.0,79.0,27.0,3077140,3050961,66.0,2.0,2.9652,-21.920949682989345,True
Auto_user_S5-00577-652-LIB-LT04-APOL1-03-OCT-2025-396_210 (1).pdf,Auto user S5-00577-652-LIB-LT04-APOL1-03-OCT-2025-396 210,87,65,S5-00577,DALI02507,Q4PA01,4.0,3032377,2896638,3087052,"Oct. 29, 2025, 3:56 p.m.",2025-10-29 15:56:00,65.0,274.0,276.0,46.0,3077140,3109381,66.0,2.0,2.9652,-0.3372453797382976,False
Auto_user_S5-00577-653-LIB-OCT-2025-402_211 (1).pdf,Auto user S5-00577-653-LIB-OCT-2025-402 211,86,65,S5-00577,DALI02423,Q4PA01,3.0,3032377,2896638,3087052,"Nov. 1, 2025, 5:14 p.m.",2025-11-01 17:14:00,65.0,277.0,286.0,44.0,3077140,3109381,65.5,2.0,2.9652,-0.1686226898691488,False
Auto_user_S5-00577-654-LIB-NOV-2025-411_212 (1).pdf,Auto user S5-00577-654-LIB-NOV-2025-411 212,84,66,S5-00577,DALI02459,Q4PA01,3.0,3032377,2896638,3087052,"Nov. 5, 2025, 3:09 p.m.",2025-11-05 15:09:00,66.0,300.0,309.0,44.0,3077140,3109381,65.5,1.5,2.2239,0.22483025315886507,False
Auto_user_S5-00577-655-LIB-NOV-2025-424_214 (1).pdf,Auto user S5-00577-655-LIB-NOV-2025-424 214,91,70,S5-00577,DALI02420,Q4PA01,3.0,3032377,2896638,3087052,"Nov. 8, 2025, 9:58 a.m.",2025-11-08 09:58:00,70.0,178.0,187.0,43.0,3077140,3109381,65.5,2.0,2.9652,1.5176042088223392,False
LIB-NOV-2025-424R (1).pdf,LIB-NOV-2025-424R,2,68,S5-00577,DALI02468,Q4PA01,4.0,3032377,3051192,3087052,"Nov. 13, 2025, 10:02 a.m.",2025-11-13 10:02:00,68.0,268.0,272.0,43.0,3077140,3109381,65.5,2.0,2.9652,0.8431134493457441,False
