Source_File,Run_Name,ISP_Loading_%,Total_Reads,Instrument,Chip_Barcode,Chip_Lot_Number,Chip_Wafer,Cleaning_Solution_Lot,ExT_Sequencing_Reagent_Lot,ExT_Wash_Solution_Lot,Run_Date_raw,Run_Date,Usable_Reads_%,Mean_Read_Length_bp,Median_Read_Length_bp,Mode_bp,Chef_Reagent_Lot,Chef_Solution_Lot
Auto_user_S5-00622-502-LIB-AUG-2025-318_252 (2).pdf,Auto user S5-00622-502-LIB-AUG-2025-318 252,91,22550417,S5-00622,DALF03510,Q46F06,22.0,3032377,2882391,3049977,"Sept. 4, 2025, 11:09 a.m.",2025-09-04 11:09:00,66.0,229.0,238.0,44.0,2917608,3000459A
Auto_user_S5-00577-639-LIB-SEP-2025-322_197 (2).pdf,Auto user S5-00577-639-LIB-SEP-2025-322 197,90,22501987,S5-00577,DALF03480,Q46F06,22.0,3000459A,2917608,3000459A,"Sept. 6, 2025, 4:08 a.m.",2025-09-06 04:08:00,67.0,289.0,297.0,43.0,2917608,3000459A
Auto_user_S5-00622-503-LIB-LT01-APOL102-SEP-2025-324_253 (2).pdf,Auto user S5-00622-503-LIB-LT01-APOL102-SEP-2025-324 253,89,20623525,S5-00622,DALF03515,Q46F06,22.0,3032377,2882391,3049977,"Sept. 6, 2025, 4:14 p.m.",2025-09-06 16:14:00,62.0,258.0,256.0,46.0,2917608,3000459A
Auto_user_S5-00577-640-LIB-APOL1-03-SEP-328_198 (2).pdf,Auto user S5-00577-640-LIB-APOL1-03-SEP-328 198,92,23033953,S5-00577,DALF03492,Q46F06,22.0,3000459A,2917608,3000459A,"Sept. 9, 2025, 4:57 p.m.",2025-09-09 16:57:00,66.0,268.0,286.0,44.0,2917608,3000459A
Auto_user_S5-00622-504-LIB-SEP-2025-331_254 (2).pdf,Auto user S5-00622-504-LIB-SEP-2025-331 254,83,20273584,S5-00622,DALF03499,Q46F06,22.0,3032377,2896638,3049977,"Sept. 11, 2025, 6:02 p.m.",2025-09-11 18:02:00,65.0,257.0,251.0,43.0,2917608,3000459A
Auto_user_S5-00577-641-LIB-SEP-2025-328R_199 (2).pdf,Auto user S5-00577-641-LIB-SEP-2025-328R 199,84,20056623,S5-00577,DALF03493,Q46F06,22.0,3050961,2917608,3050961,"Sept. 13, 2025, 10:55 a.m.",2025-09-13 10:55:00,64.0,285.0,287.0,44.0,2917608,3050961
Auto_user_S5-00622-505-LIB-LT02-SEP-2025-335_255 (2).pdf,Auto user S5-00622-505-LIB-LT02-SEP-2025-335 255,90,20018586,S5-00622,DALF03504,Q46F06,22.0,3032377,2896638,3087052,"Sept. 13, 2025, 2:38 p.m.",2025-09-13 14:38:00,60.0,245.0,214.0,46.0,2917608,3050961
Auto_user_S5-00622-506-LIB-SEP-2025-338_256 (2).pdf,Auto user S5-00622-506-LIB-SEP-2025-338 256,89,22302374,S5-00622,DALE00665,Q42M81,14.0,3032377,2896638,3087052,"Sept. 16, 2025, 5:50 p.m.",2025-09-16 17:50:00,67.0,238.0,249.0,43.0,2917608,3050961
Auto_user_S5-00577-642-LIB-SEP-2025-341_200 (2).pdf,Auto user S5-00577-642-LIB-SEP-2025-341 200,83,20722652,S5-00577,DALE00672,Q42M81,14.0,3050961,2917608,3050961,"Sept. 18, 2025, 4:45 p.m.",2025-09-18 16:45:00,66.0,284.0,296.0,44.0,2917608,3050961
Auto_user_S5-00577-643-LIB-SEP-2025-345_201 (2).pdf,Auto user S5-00577-643-LIB-SEP-2025-345 201,85,21161316,S5-00577,DALE00667,Q42M81,14.0,3050961,2917608,3050961,"Sept. 20, 2025, 6:48 p.m.",2025-09-20 18:48:00,66.0,278.0,286.0,44.0,2917608,3050961
